word,syllables,actual_count,cmu_counts,category,phonetic,kaikki_counts,kaikki_ipa,kaikki_decision,kaikki_error
trivia,triv-ia,2,3,vowel_sequence_suffix,/ˈtɹɪviə/,,/ˈtɹɪvi.ə/,kaikki_no_count,
trivial,triv-ial,2,3,other,/ˈtɹɪviəl/,,/ˈtɹɪv.i.əl/; /ˈtɹɪv.jəl/,kaikki_no_count,
truism,tru-ism,2,3,suffix_ism,/ˈtɹuːɪzəm/,,/tɹuːizəm/,kaikki_no_count,
turquoise,turquoise,1,2,other,/ˈtɝkwɔɪz/,,/ˈtɜː(ɹ).k(w)ɔɪz/; /ˈtɜː(ɹ).k(w)ɔɪs/; /ˈtɜː(ɹ).kwɑːz/; /ˈtɝ.k(w)ɔɪz/; /ˈtɝ.k(w)ɔɪs/,kaikki_no_count,
tvs,tvs,1,2,other,/ˈtiːˈviːz/,,,kaikki_no_count,
unadorned,un-adorned,2,3,other,/ˌʌnəˈdɔɹnd/,,/ʌˌnəˈdɔːnd/; /əˌnʌˈdɔːɹnd/,kaikki_no_count,
unctuous,unc-tu-ous,3,2,vowel_sequence_suffix,/ˈʌŋtʃwəs/,,/ˈʌŋ(k)t͡ʃʊəs/; /-tjʊəs/; /ˈʌŋ(k)(t)ʃəwəs/; /ˈʌŋ(k)(t)ʃəs/,kaikki_no_count,
undiscovered,undis-cov-ered,3,4,other,/ˌʌndɪˈskʌvɚd/,,,kaikki_no_count,
undisturbed,undis-turbed,2,3,other,/ˌʌndɪˈstɝbd/,,,kaikki_no_count,
unenviable,un-en-vi-able,4,5,suffix_able_ible,/əˈnɛnˌviːəbəl/,,,kaikki_no_count,
uninteresting,un-in-ter-est-ing,5,4,other,/əˈnɪntɹəstɪŋ/,,,kaikki_no_count,
unreal,un-re-al,3,2,other,/ənˈɹiːl/,,/ʌnˈɹi.əl/,kaikki_no_count,
unrealistic,un-re-al-is-tic,5,4,other,/ənˌɹiːˈlɪstɪk/,,,kaikki_no_count,
unreliable,un-re-li-able,4,5,suffix_able_ible,/ˌʌnrɪˈlaɪəbl/,,/ˌʌn.ɹɪˈlaɪ.ə.bl̩/; /ʌn.ɹɪˈlaɪ.ə.bl̩/; /ˌʌn.ɹəˈlaɪ.ə.bəl/,kaikki_no_count,
urbanism,ur-ban-ism,3,4,suffix_ism,/ˈɝbənɪzəm/,,/ˈɜː(ɹ)bənɪzəm/,kaikki_no_count,
urls,urls,1,3,other,/ˈjuːˈɑˈɹɛlz/,,,kaikki_missing,
usual,usu-al,2,3,other,/ˈjuːʒuːəl/,,/ˈjuː.ʒʊəl/; /ˈju.ʒuəl/; /ˈju.ʒ(w)əl/,kaikki_no_count,
utopian,u-topi-an,3,4,vowel_sequence_suffix,/juˈtoʊpiən/,,/juːˈtəʊ.pi.ən/; /juˈtoʊ.pi.ən/,kaikki_no_count,
vacuum,vac-u-um,3,2,other,/ˈvækjum/,,/ˈvæ.kjuːm/; /ˈvæ.kjuː.əm/,kaikki_no_count,
valedictorian,vale-dic-to-ri-an,5,6,vowel_sequence_suffix,/ˌvæləˌdɪkˈtɔɹiən/,,/ˌvæl.əd.ɪkˈtɔɹ.ɪən/; /ˌvæl.ə.dɪkˈtoɹ.i.ən/; /ˌvæl.ə.dɪkˈtoɹ.i.ɪn/,kaikki_no_count,
variant,vari-ant,2,3,other,/ˈvɛɹiənt/,,/ˈvɛəɹi.ənt/; /ˈvæɹi.ənt/; /ˈvɛɹi.ənt/,kaikki_no_count,
variety,va-ri-ety,3,4,suffix_ity_ety,/vɚˈaɪəti/,,/vəˈɹaɪ.ɪ.ti/; /vəˈɹaɪ.ə.ti/; /-ɾi/,kaikki_no_count,
varying,vary-ing,2,3,other,/ˈvɛɹiɪŋ/,,/ˈvɛəɹiɪŋ/; /ˈvɛɹiɪŋ/,kaikki_no_count,
vegetable,veg-e-ta-ble,4,3,suffix_able_ible,/ˈvɛdʒtəbəl/,,/ˈvɛd͡ʒ.tə.bəl/; [ˈvɛd͡ʒ.tə.bɫ̩]; /ˈvɛd͡ʒ.ə.tə.bəl/; /ˈvɛt͡ʃ.tə.bəl/; /ˌvɛdʒɪˈʈebəl/; /ˈvɛdʒɪʈəbɪl/; /ˈved͡ʒ.tə.bəl/; [ˈved͡ʒ.tə.bɫ̩],kaikki_no_count,
venereal,vene-re-al,3,4,other,/vəˈnɪɹiəl/,,/vəˈnɪə.ɹɪ.əl/; /vɪ-/; /vəˈnɪ.ɹi.əl/,kaikki_no_count,
verifiable,ver-i-fi-able,4,5,suffix_able_ible,/ˈvɛɹəˌfaɪəbəl/,,/vɛɹ.ɪˈfaɪ.ə.bəl/; /ˈvɛɹ.ɪ.faɪ.ə.bəl/; /ˌvɛɹ.əˈfaɪ.ə.bəl/; [ˌvɛɹˈfaɪ.ə.bɫ̩]; /ˈvɛɹ.əˌfaɪ.ə.bəl/; [ˈvɛɹˌfaɪ.ə.bɫ̩],kaikki_no_count,
vertically,ver-ti-cal-ly,4,3,adverb_ically_ally,/ˈvɝtɪkli/,,/ˈvɜː.tɪ.kl̩i/; /ˈvɝ.tɪ.kəli/,kaikki_no_count,
veterinary,vet-eri-nary,3,4,other,/ˈvɛtɹəˌnɛɹi/,,/ˈvɛtɪnɹi/; /ˈvɛtɹɪnɹi/; /vɛtɪnɛɹi/; /ˈvɛtəɹɪnɛɹi/; /ˈvɛtɹɪnɛɹi/; /ˈvɛtɪnɛɹi/,kaikki_no_count,
viable,vi-able,2,3,suffix_able_ible,/ˈvaɪəbəl/,,/ˈvaɪəbəl/,kaikki_no_count,
viceroy,viceroy,1,2,other,/ˈvaɪsɹɔɪ/,,/ˈvaɪsˌɹɔɪ/,kaikki_no_count,
virtuoso,vir-tu-oso,3,4,other,/vɚtʃuˈoʊsoʊ/,,/ˌvɜ.tʃuˈəʊ.səʊ/; /ˌvɝ.t͡ʃuˈoʊ.soʊ/,kaikki_no_count,
