word,subtype,phonetic,phonetic_uk,phonetic_us,conflict_dialects,source_variants,uk_candidate_count,us_candidate_count
pyjamas,no_safe_variant,/pəˈdʒɑːməs/,,,uk,uk,2,0
quadrate,no_safe_variant,/ˈkwɒdɹeɪt/,,,uk,uk,5,0
qualms,no_safe_variant,/ˈkwɑːmz/,,,us,us,0,2
races,no_safe_variant,/ˈɹeɪsɪz/,,,us,us,0,2
raises,no_safe_variant,/ˈɹeɪzɪz/,,,us,us,0,2
rand,has_us_only_but_conflict,/ˈɹænd/,,/ˈɹænd/,uk,uk,8,1
ranges,no_safe_variant,/ˈɹeɪndʒɪz/,,,us,us,0,2
rapids,no_safe_variant,/ræpɪdz/,,,us,us,0,2
reaches,no_safe_variant,/ˈɹiːtʃɪz/,,,us,us,0,2
realtors,no_safe_variant,/ˈɹɪəltəz/,,,us,us,0,2
receivers,no_safe_variant,/rɪˈsiːvəz/,,,us,us,0,3
receives,no_safe_variant,/ɹɪsˈiːvz/,,,us,us,0,3
recognise,has_us_only_but_conflict,/ˈɹɛkəɡˌnaɪz/,,/ˈɹɛkəɡˌnaɪz/,uk,uk,2,1
recorders,no_safe_variant,/rɪˈkɔːdəz/,,,us,us,0,2
records,no_safe_variant,/ˈɹɛkɔːdz/,,,uk|us,uk|us,2,3
recovering,no_safe_variant,/ɹɪkˈʌvəɹɪŋ/,,,us,us,0,2
recreate,no_safe_variant,/ˌɹiːkɹiːˈeɪt/,,,us,us,0,2
reduces,no_safe_variant,/ɹɪdjˈuːsɪz/,,,uk|us,uk|us,2,3
references,has_uk_only_but_conflict,/ˈɹɛfɹənsɪz/,/ˈɹɛfɹn̩sɪz/,,us,us,2,2
refers,no_safe_variant,/rɪˈfɜːz/,,,us,us,0,2
reforms,has_uk_only_but_conflict,/rɪˈfɔːmz/,/ɹɪˈfɔːmz/,,us,us,2,2
regions,has_us_only_but_conflict,/ˈɹiːdʒənz/,,/ˈɹiːdʒənz/,uk,uk,4,1
relates,no_safe_variant,/ɹɪlˈeɪts/,,,us,us,0,2
relating,no_safe_variant,/ɹɪlˈeɪtɪŋ/,,,us,us,0,2
remained,no_safe_variant,/rɪˈmeɪnd/,,,us,us,0,2
remarks,no_safe_variant,/ɹɪmˈɑːks/,,,uk|us,uk|us,4,2
repairs,no_safe_variant,/ɹɪpˈeəz/,,,us,us,0,2
replied,no_safe_variant,/ɹɪplˈaɪd/,,,us,us,0,2
replies,no_safe_variant,/ɹɪplˈaɪz/,,,us,us,0,2
reports,has_uk_only_but_conflict,/ɹɪpˈɔːts/,/ɹɪˈpɔːts/,,us,us,2,2
representatives,no_safe_variant,/reprɪˈzentətɪvz/,,,us,us,0,4
republicans,no_safe_variant,/rɪˈpʌblɪkənz/,,,us,us,0,3
requesting,no_safe_variant,/ɹɪkwˈɛstɪŋ/,,,us,us,0,2
requests,no_safe_variant,/rɪˈkwests/,,,us,us,0,4
requirements,has_us_only_but_conflict,/ɹɪˈkwaɪɹmənts/,,/ɹɪˈkwaɪɹmənts/,uk,uk,2,1
requires,has_uk_only_but_conflict,/ɹɪkwˈaɪəz/,/ɹɪˈkwaɪəz/,,us,us,1,2
requiring,has_uk_only_but_conflict,/rɪˈkwaɪərɪŋ/,/ɹɪˈkwaɪəɹɪŋ/,,us,us,2,2
reserves,has_uk_only_but_conflict,/ɹɪzˈɜːvz/,/ɹɪˈzɜːvz/,,us,us,2,2
resorts,no_safe_variant,/ɹɪzˈɔːts/,,,us,us,0,3
responded,no_safe_variant,/rɪˈspɔndɪd/,,,uk|us,uk|us,2,3
responding,no_safe_variant,/ɹɪspˈɒndɪŋ/,,,us,us,0,2
responses,has_uk_only_but_conflict,/ɹɪspˈɒnsɪz/,/ɹɪˈspɒnsɪz/,,us,us,1,3
restaurants,no_safe_variant,/ˈrestərənts/,,,us,us,0,2
resulted,no_safe_variant,/rɪˈzʌltɪd/,,,us,us,0,3
results,no_safe_variant,/ɹɪzˈʌlts/,,,us,us,0,2
resumes,no_safe_variant,/ɹɪzjˈuːmz/,,,us,us,0,3
reticulate,no_safe_variant,/ɹɛtˈɪkjʊlˌeɪt/,,,uk,uk,4,0
returns,has_uk_only_but_conflict,/ɹɪtˈɜːnz/,/ɹɪˈtɜːnz/,,us,us,3,2
reveals,no_safe_variant,/rɪˈviːlz/,,,us,us,0,2
revenues,has_uk_only_but_conflict,/ˈrevənjuːz/,/ˈɹɛvənjuːz/,,us,us,1,2
reviews,no_safe_variant,/ɹɪvjˈuːz/,,,us,us,0,2
rewards,no_safe_variant,/ɹɪwˈɔːdz/,,,us,us,0,2
