word,syllables,actual_count,cmu_counts,category,phonetic
definitively,de-fi-ni-ti-ve-ly,6,5,other,/dɪˈfɪnɪtɪvli/
deify,de-ify,2,3,other,/ˈdiːəˌfaɪ/
deist,deist,1,2,other,/ˈdiːɪst/
deity,de-ity,2,3,suffix_ity_ety,/ˈdiːəti/
delirium,delir-i-um,3,4,vowel_sequence_suffix,/dɪˈlɪɹiəm/
demographically,de-mo-graph-i-cal-ly,6,5,adverb_ically_ally,/ˌdɛməˈɡɹæfɪkli/
demonstrates,demon-strates,2,3,other,/ˈdɛmənˌstɹeɪts/
despotism,des-po-tism,3,4,suffix_ism,/ˈdɛspəˌtɪzəm/
devour,de-vour,2,3,other,/dɪˈvaʊɚ/
diabetes,di-a-betes,3,4,other,/ˌdaɪəˈbiːtiz/
dialect,di-alect,2,3,other,/ˈdaɪəˌlɛkt/
diamond,di-a-mond,3,2,other,/ˈdaɪmənd/
diamonds,di-a-monds,3,2,other,/ˈdaɪməndz/
diana,di-ana,2,3,other,/daɪˈænə/
diaphanous,diap-ha-nous,3,4,other,/daɪˈæfənɪs/
diatomic,di-atom-ic,3,4,other,/ˌdaɪəˈtɑmɪk/
discontinuity,dis-con-ti-nu-ity,5,6,suffix_ity_ety,/dɪˌskɑntɪˈnuːɪti/
disheveled,di-sheveled,2,3,other,/dɪˈʃɛvəld/
disinterested,dis-in-ter-est-ed,5,4,other,/ˌdɪsˈɪntɹɛstɪd/
disobedient,dis-obe-di-ent,4,5,other,/dɪsəʊbˈiːdɪənt/
disorient,dis-ori-ent,3,4,other,/dɪˈsɔɹiˌɛnt/
docile,docile,1,2,other,/ˈdɑsəl/
domestically,do-mes-ti-cal-ly,5,4,adverb_ically_ally,/dəˈmɛstɪkli/
drastically,dras-ti-cal-ly,4,3,adverb_ically_ally,/ˈdɹæstɪkli/
drawer,draw-er,2,1,other,/ˈdɹɔɹ/
duet,duet,1,2,other,/djuːˈɛt/
duo,duo,1,2,other,/ˈduːoʊ/
dvds,dvds,1,3,other,/ˌdiːˌviːˈdiːz/
dwarfism,dwar-fism,2,3,suffix_ism,/ˈdwɔɹfɪzəm/
dynamically,dy-nam-i-cal-ly,5,4,adverb_ically_ally,/daɪˈnæmɪˌkliː/
easygoing,easy-go-ing,3,4,other,/ˈiːziˈɡoʊɪŋ/
economically,e-co-nom-i-cal-ly,6,5,adverb_ically_ally,/iːkəˈnɔmɪkəlɪ/
ecstatically,ec-stat-i-cal-ly,5,4,adverb_ically_ally,/ɛkˈstætɪkli/
edinburgh,ed-in-burgh,3,4,other,/ˈɛdənbɚoʊ/
egoism,e-go-ism,3,4,suffix_ism,/ˈiːɡoʊˌɪzəm/
egotism,e-go-tism,3,4,suffix_ism,/ˈiːɡəˌtɪzəm/
elaborately,e-lab-o-rate-ly,5,4,other,/ɪˈlæbɹətli/
elysium,ely-si-um,3,4,vowel_sequence_suffix,/ɪˈlɪziəm/
emaciated,ema-ci-at-ed,4,5,other,/ɪˈmeɪʃiˌeɪtɪd/
embolism,em-bo-lism,3,4,suffix_ism,/ˈɛmboʊˌlɪzəm/
embryo,em-bryo,2,3,other,/ˈɛmbɹiˌoʊ/
emirates,emi-rates,2,3,other,/əˈmɪrets/
emotionally,e-mo-tion-al-ly,5,4,adverb_ically_ally,/ɪmˈəʊʃənəlɪ/
empiricism,em-pi-ri-cism,4,5,suffix_ism,/ɛmˈpɪɹəˌsɪzəm/
emulsifier,emul-si-fi-er,4,5,other,/ɪˈmʌlsəˌfaɪɚ/
encomium,en-comi-um,3,4,vowel_sequence_suffix,/ɛnˈkɔˌmɪəm/
energetically,en-er-get-i-cal-ly,6,5,adverb_ically_ally,/ˌɛnɚˈdʒɛtɪkli/
enthusiasm,en-thu-si-asm,4,5,other,/ɪnˈθuːziˌæzəm/
enthusiastically,en-thu-si-as-ti-cal-ly,7,6,adverb_ically_ally,/ɪnˌθuːziˈæstɪkli/
entrepreneurial,en-tre-pre-neur-ial,5,6,other,/ˌɑntɹəpɹəˈnɝiəl/
enviable,en-vi-able,3,4,suffix_able_ible,/ˈɛnviəbəl/
eohippus,eo-hip-pus,3,4,other,/ˌiːoʊˈhɪpəs/
eon,eon,1,2,other,/ˈiːɒn/
eos,eos,1,2,other,/ˈiːɑs/
epilogue,epi-logue,2,3,other,/ˈɛpəˌlɔɡ/
episodes,e-pi-so-des,4,3,other,/ˈɛpɪsˌəʊdz/
etc,etc,1,4,other,/ˌɛtˈsɛtɚə/
ethereal,ethe-re-al,3,4,other,/ɪˈθɪɹiəl/
ethiopia,et-hio-pia,3,5,vowel_sequence_suffix,/ˌiːθiˈoʊpiə/
euphony,e-u-pho-ny,4,3,other,/ˈjuːfəni/
evening,evening,1,2,other,/ˈiːvnɪŋ/
eventual,even-tu-al,3,4,other,/ɪvˈɛntʃuːəl/
eventuality,even-tu-al-i-ty,5,6,suffix_ity_ety,/ɪˌventʃuˈælɪtɪ/
excellency,ex-cel-len-cy,4,3,other,/ˈɛkˈslɛnsi/
exorcism,ex-or-cism,3,4,suffix_ism,/ˈɛksɚˌsɪzəm/
experiences,ex-pe-ri-ences,4,5,other,/ɪkˈspɪɹiənsɪz/
facelift,facelift,1,2,other,/ˈfeɪˌslɪft/
facile,facile,1,2,other,/ˈfæsəl/
fanaticism,fa-na-ti-cism,4,5,suffix_ism,/fəˈnætəˌsɪzəm/
fancier,fanci-er,2,3,other,/ˈfænsiɚ/
farewell,farewell,1,2,other,/ˌfɛɹˈwɛl/
fascism,fas-cism,2,3,suffix_ism,/ˈfæˌʃɪzəm/
fatalism,fa-tal-ism,3,4,suffix_ism,/ˈfeɪtəˌlɪzəm/
favoritism,fa-vo-ri-tism,4,5,suffix_ism,/ˈfeɪvɚɪˌtɪzəm/
feb,feb,1,4,other,/ˈfɛbjəˌwɛɹi/
february,feb-ru-ary,3,4,other,/ˈfɛbɹuːəɹɪ/
feminism,fem-i-nism,3,4,suffix_ism,/ˈfɛmɪˌnɪzəm/
feudalism,feu-dal-ism,3,4,suffix_ism,/ˈfjuːdəˌlɪzəm/
filial,fil-ial,2,3,other,/ˈfɪliəl/
flickr,flickr,1,2,other,/ˈflɪkɚ/
fluorescent,flu-o-res-cent,4,3,other,/flʊəɹˈɛsənt/
forego,forego,1,2,other,/fɔɹˈɡoʊ/
foreseeable,fore-see-able,3,4,suffix_able_ible,/fɔɹˈsiːəbəl/
fortuitous,for-tu-itous,3,4,other,/fɔɹˈtuːɪtəs/
freudian,freudi-an,2,3,vowel_sequence_suffix,/ˈfɹuːdiən/
